time,open,high,low,close,volume
1726466715,25370.3,25370.3,25366.9,25366.9,0
1726466720,25366.25,25367.4,25365.15,25365.65,0
1726466725,25364.0,25364.0,25359.9,25360.85,0
1726466730,25360.2,25361.25,25359.6,25360.3,0
1726466735,25359.35,25360.8,25358.55,25360.8,0
1726466740,25360.75,25361.1,25359.35,25360.25,0
1726466745,25359.95,25359.95,25358.15,25359.2,0
1726466750,25359.55,25360.4,25359.2,25360.1,0
1726466755,25360.85,25362.9,25360.85,25361.85,0
1726466760,25362.0,25364.1,25362.0,25363.6,0
1726466765,25363.7,25364.7,25363.15,25363.9,0
1726466770,25364.55,25364.7,25363.25,25363.7,0
1726466775,25364.4,25365.2,25364.0,25365.2,0
1726466780,25364.8,25365.35,25363.15,25365.2,0
1726466785,25365.8,25368.75,25365.8,25367.6,0
1726466790,25367.55,25367.55,25366.65,25366.65,0
1726466795,25366.85,25367.75,25365.65,25366.35,0
1726466800,25365.85,25366.6,25365.65,25366.55,0
1726466805,25366.4,25366.55,25365.85,25366.45,0
1726466810,25366.75,25367.15,25365.1,25367.1,0
1726466815,25367.1,25368.45,25367.1,25368.25,0
1726466820,25368.25,25368.7,25367.7,25368.05,0
1726466825,25368.4,25369.1,25368.05,25369.1,0
1726466830,25369.0,25369.95,25369.0,25369.5,0
1726466835,25369.3,25371.4,25368.9,25371.4,0
1726466840,25371.6,25374.15,25371.6,25374.15,0
1726466845,25374.4,25375.15,25373.4,25374.0,0
1726466850,25373.7,25374.6,25373.7,25374.3,0
1726466855,25374.05,25374.85,25372.6,25373.85,0
1726466860,25374.65,25375.6,25374.55,25374.55,0
1726466865,25375.15,25375.3,25374.1,25375.3,0
1726466870,25374.85,25375.05,25373.3,25374.7,0
1726466875,25374.9,25376.65,25374.85,25376.65,0
1726466880,25376.25,25377.0,25375.95,25375.95,0
1726466885,25375.75,25376.25,25374.45,25375.1,0
1726466890,25374.95,25375.7,25374.9,25374.9,0
1726466895,25375.45,25377.15,25374.75,25376.85,0
1726466900,25376.8,25376.8,25374.25,25375.6,0
1726466905,25375.4,25375.65,25375.05,25375.1,0
1726466910,25375.05,25375.05,25374.0,25374.0,0
1726466915,25374.2,25374.45,25373.0,25374.3,0
1726466920,25373.9,25375.5,25373.65,25375.35,0
1726466925,25375.2,25375.9,25375.0,25375.5,0
1726466930,25375.6,25376.8,25374.4,25376.8,0
1726466935,25376.5,25377.45,25375.6,25377.45,0
1726466940,25376.6,25377.0,25375.75,25376.05,0
1726466945,25376.3,25376.3,25373.7,25373.7,0
1726466950,25373.55,25374.4,25372.85,25373.65,0
1726466955,25374.5,25375.6,25374.5,25374.65,0
1726466960,25375.05,25375.8,25374.1,25374.5,0
1726466965,25375.3,25375.5,25374.7,25375.5,0
1726466970,25375.7,25376.9,25375.7,25376.0,0
1726466975,25375.8,25376.2,25374.65,25375.35,0
1726466980,25375.05,25375.95,25375.05,25375.95,0
1726466985,25375.55,25376.1,25374.85,25375.05,0
1726466990,25374.4,25375.4,25374.15,25374.9,0
1726466995,25375.25,25376.2,25374.6,25374.6,0
1726467000,25375.35,25375.35,25373.6,25375.15,0
1726467005,25375.15,25375.35,25374.05,25374.2,0
1726467010,25373.75,25374.6,25373.6,25374.25,0
1726467015,25374.35,25374.65,25373.25,25374.45,0
1726467020,25374.75,25374.75,25373.3,25373.9,0
1726467025,25373.7,25373.7,25373.1,25373.4,0
1726467030,25373.9,25373.9,25372.0,25372.55,0
1726467035,25371.55,25371.55,25369.15,25369.85,0
1726467040,25370.1,25370.1,25368.85,25368.85,0
1726467045,25369.1,25369.1,25367.85,25368.1,0
1726467050,25368.35,25369.15,25367.1,25367.1,0
1726467055,25367.55,25369.5,25367.45,25368.65,0
1726467060,25368.4,25369.3,25368.3,25368.45,0
1726467065,25368.65,25368.95,25366.85,25366.85,0
1726467070,25367.2,25367.2,25365.2,25366.3,0
1726467075,25365.85,25366.95,25365.85,25366.7,0
1726467080,25365.95,25366.9,25365.75,25365.75,0
1726467085,25365.8,25367.15,25365.6,25367.15,0
1726467090,25367.25,25367.25,25366.25,25366.9,0
1726467095,25366.8,25368.2,25366.8,25367.35,0
1726467100,25367.4,25368.5,25367.25,25368.5,0
1726467105,25368.3,25368.75,25367.8,25368.4,0
1726467110,25368.45,25369.3,25366.4,25369.3,0
1726467115,25368.65,25369.45,25368.6,25369.25,0
1726467120,25368.55,25370.15,25368.55,25368.7,0
1726467125,25369.7,25370.1,25369.0,25369.4,0
1726467130,25369.35,25370.45,25368.85,25370.05,0
1726467135,25369.6,25370.3,25369.25,25369.45,0
1726467140,25369.7,25370.75,25369.55,25370.6,0
1726467145,25370.4,25371.0,25370.25,25370.95,0
1726467150,25370.45,25370.75,25370.0,25370.75,0
1726467155,25369.8,25371.05,25369.1,25369.1,0
1726467160,25368.55,25368.55,25364.6,25364.6,0
1726467165,25362.55,25362.75,25362.05,25362.3,0
1726467170,25361.45,25361.45,25359.65,25361.15,0
1726467175,25360.95,25361.9,25359.75,25361.9,0
1726467180,25361.9,25361.9,25360.75,25361.1,0
1726467185,25361.45,25362.15,25360.6,25361.55,0
1726467190,25362.35,25363.7,25362.05,25363.7,0
1726467195,25363.1,25364.9,25363.1,25364.85,0
1726467200,25364.7,25365.5,25363.85,25364.25,0
1726467205,25364.6,25366.5,25364.6,25366.1,0
1726467210,25365.85,25366.35,25365.0,25365.25,0
1726467215,25365.6,25365.9,25364.6,25365.45,0
1726467220,25365.55,25366.5,25365.05,25365.3,0
1726467225,25365.0,25365.35,25363.3,25363.5,0
1726467230,25363.55,25366.2,25362.75,25365.7,0
1726467235,25365.95,25367.25,25365.75,25366.15,0
1726467240,25367.15,25367.15,25365.8,25366.4,0
1726467245,25366.35,25366.35,25365.05,25365.15,0
1726467250,25364.9,25365.9,25364.8,25365.65,0
1726467255,25366.05,25366.1,25364.2,25365.35,0
1726467260,25366.0,25366.4,25363.95,25364.1,0
1726467265,25364.0,25364.8,25363.5,25364.8,0
1726467270,25364.65,25365.7,25364.45,25365.05,0
1726467275,25365.2,25366.3,25363.8,25365.25,0
1726467280,25364.8,25365.35,25363.45,25365.15,0
1726467285,25365.25,25366.0,25365.25,25365.65,0
1726467290,25365.7,25366.5,25365.3,25365.75,0
1726467295,25366.15,25367.15,25366.15,25366.35,0
1726467300,25366.25,25367.0,25364.7,25364.85,0
1726467305,25364.35,25365.2,25363.55,25364.8,0
1726467310,25365.1,25365.55,25364.15,25364.5,0
1726467315,25364.85,25364.85,25362.4,25362.4,0
1726467320,25362.15,25362.15,25358.6,25358.6,0
1726467325,25357.5,25357.5,25352.95,25355.45,0
1726467330,25354.75,25355.6,25354.75,25355.1,0
1726467335,25356.2,25357.0,25355.05,25355.35,0
1726467340,25355.9,25357.25,25355.9,25355.9,0
1726467345,25355.45,25357.05,25355.3,25357.05,0
1726467350,25357.55,25357.7,25355.9,25355.9,0
1726467355,25356.0,25357.65,25356.0,25356.95,0
1726467360,25356.95,25358.75,25356.95,25357.6,0
1726467365,25357.35,25358.8,25357.2,25358.3,0
1726467370,25357.8,25358.3,25356.9,25356.9,0
1726467375,25356.7,25357.85,25355.6,25357.2,0
1726467380,25357.5,25359.1,25356.75,25357.65,0
1726467385,25358.05,25358.05,25356.8,25357.7,0
1726467390,25358.25,25358.4,25357.05,25357.6,0
1726467395,25357.75,25359.1,25356.4,25356.4,0
1726467400,25355.7,25356.45,25353.9,25353.9,0
1726467405,25354.3,25355.05,25352.35,25352.7,0
1726467410,25353.75,25354.95,25352.3,25353.8,0
1726467415,25353.75,25354.3,25353.05,25353.2,0
1726467420,25353.45,25353.45,25351.95,25352.8,0
1726467425,25352.55,25356.55,25352.55,25356.15,0
1726467430,25357.05,25359.7,25357.05,25359.7,0
1726467435,25359.8,25359.95,25358.8,25359.8,0
1726467440,25358.75,25358.95,25357.9,25358.35,0
1726467445,25358.15,25358.95,25357.95,25358.9,0
1726467450,25358.3,25360.2,25358.0,25359.55,0
1726467455,25359.8,25361.0,25358.9,25360.2,0
1726467460,25359.9,25360.8,25359.75,25359.75,0
1726467465,25359.8,25360.1,25358.45,25359.75,0
1726467470,25358.6,25360.2,25358.6,25359.45,0
1726467475,25359.0,25359.5,25358.4,25359.25,0
1726467480,25359.9,25359.9,25358.5,25358.55,0
1726467485,25359.2,25359.9,25357.7,25358.15,0
1726467490,25358.1,25359.3,25357.95,25359.3,0
1726467495,25358.75,25358.75,25357.5,25358.4,0
1726467500,25358.1,25358.75,25357.45,25358.75,0
1726467505,25358.0,25360.2,25358.0,25359.6,0
1726467510,25358.55,25360.15,25358.55,25359.7,0
1726467515,25359.15,25360.9,25359.15,25360.3,0
1726467520,25360.2,25360.8,25359.55,25360.55,0
1726467525,25360.7,25361.3,25360.0,25360.3,0
1726467530,25361.35,25361.95,25360.25,25361.05,0
1726467535,25361.05,25362.2,25360.5,25361.75,0
1726467540,25361.75,25362.1,25360.25,25360.35,0
1726467545,25361.0,25361.0,25359.05,25359.85,0
1726467550,25360.0,25360.55,25359.0,25360.2,0
1726467555,25360.1,25360.1,25358.65,25359.35,0
1726467560,25359.55,25361.0,25359.55,25360.6,0
1726467565,25359.85,25361.2,25359.85,25361.05,0
1726467570,25360.15,25360.85,25359.75,25359.8,0
1726467575,25360.1,25361.05,25359.8,25361.05,0
1726467580,25361.35,25362.25,25360.95,25361.85,0
1726467585,25361.75,25362.95,25361.7,25362.65,0
1726467590,25363.15,25363.15,25361.75,25363.1,0
1726467595,25363.35,25363.35,25362.45,25362.7,0
1726467600,25363.3,25364.05,25362.9,25363.75,0
1726467605,25363.9,25365.1,25362.9,25363.4,0
1726467610,25363.5,25363.5,25362.05,25362.2,0
1726467615,25362.5,25363.45,25361.75,25363.35,0
1726467620,25363.0,25363.95,25361.0,25362.95,0
